Feature Identifier,Feature Name
http://opendatacommunities.org/id/geography/administration/lsoa/E01006598,Liverpool 010A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006599,Liverpool 010B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006600,Liverpool 011A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006603,Liverpool 011B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006604,Liverpool 016A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006605,Liverpool 016B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006606,Liverpool 020A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006607,Liverpool 008A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006608,Liverpool 009A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006609,Liverpool 009B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006610,Liverpool 009C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006611,Liverpool 012A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006612,Liverpool 008B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006613,Liverpool 009D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006614,Liverpool 012B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006615,Liverpool 012C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006616,Liverpool 015D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006617,Liverpool 021A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006618,Liverpool 016C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006619,Liverpool 021B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006620,Liverpool 021C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006621,Liverpool 021D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006622,Liverpool 021E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006623,Liverpool 013A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006624,Liverpool 013B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006625,Liverpool 016D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006626,Liverpool 016E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006627,Liverpool 013C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006628,Liverpool 052D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006629,Liverpool 052E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006630,Liverpool 044B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006632,Liverpool 044C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006633,Liverpool 050B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006637,Liverpool 017A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006638,Liverpool 017B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006639,Liverpool 017C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006640,Liverpool 021F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006641,Liverpool 025C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006642,Liverpool 025D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006643,Liverpool 025E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006644,Liverpool 017D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006645,Liverpool 017E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006646,Liverpool 023C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006647,Liverpool 024C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006648,Liverpool 023D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006651,Liverpool 001A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006652,Liverpool 002A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006653,Liverpool 001B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006654,Liverpool 005A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006655,Liverpool 001C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006656,Liverpool 002B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006657,Liverpool 002C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006658,Liverpool 001D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006659,Liverpool 005B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006660,Liverpool 001E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006661,Liverpool 004A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006662,Liverpool 004B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006663,Liverpool 004C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006664,Liverpool 004D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006665,Liverpool 007A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006666,Liverpool 007B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006667,Liverpool 007C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006668,Liverpool 007D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006669,Liverpool 004E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006670,Liverpool 007E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006671,Liverpool 013D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006672,Liverpool 010E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006673,Liverpool 037D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006674,Liverpool 039C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006675,Liverpool 043C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006676,Liverpool 044D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006677,Liverpool 043D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006678,Liverpool 044E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006679,Liverpool 039D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006680,Liverpool 053B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006681,Liverpool 054D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006682,Liverpool 053C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006683,Liverpool 053D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006684,Liverpool 056B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006685,Liverpool 056C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006686,Liverpool 053E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006687,Liverpool 056D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006688,Liverpool 056E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006689,Liverpool 049D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006690,Liverpool 028A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006691,Liverpool 030A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006692,Liverpool 028B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006693,Liverpool 024D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006694,Liverpool 030B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006695,Liverpool 028C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006696,Liverpool 030C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006697,Liverpool 030D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006698,Liverpool 012D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006699,Liverpool 014A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006700,Liverpool 012E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006701,Liverpool 014B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006702,Liverpool 014C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006703,Liverpool 014D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006705,Liverpool 009E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006706,Liverpool 045A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006707,Liverpool 045B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006708,Liverpool 045C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006709,Liverpool 040A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006710,Liverpool 045D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006711,Liverpool 027A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006712,Liverpool 029D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006713,Liverpool 029E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006716,Liverpool 032E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006717,Liverpool 027D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006718,Liverpool 027E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006719,Liverpool 027F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006720,Liverpool 035A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006721,Liverpool 038C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006722,Liverpool 038D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006723,Liverpool 038E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006724,Liverpool 038F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006725,Liverpool 035B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006726,Liverpool 035C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006727,Liverpool 035D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006728,Liverpool 035E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006729,Liverpool 008C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006730,Liverpool 011C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006731,Liverpool 011D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006732,Liverpool 011E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006734,Liverpool 005C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006735,Liverpool 005D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006736,Liverpool 005E
